date,open,high,low,close,volume
2025-12-23,1.346730,1.352400,1.346700,1.351230,0.000000
2025-12-24,1.351240,1.353500,1.349060,1.349500,0.000000
2025-12-25,1.352400,1.352800,1.349340,1.350740,0.000000
2025-12-26,1.350700,1.352800,1.347500,1.349300,0.000000
2025-12-28,1.348770,1.350050,1.348740,1.349540,0.000000
2025-12-29,1.349660,1.351530,1.346700,1.350900,0.000000
2025-12-30,1.350820,1.353100,1.344800,1.346590,0.000000
2025-12-31,1.346610,1.347650,1.340100,1.344750,0.000000
2026-01-01,1.346000,1.347700,1.343100,1.347220,0.000000
2026-01-02,1.347320,1.350160,1.343300,1.345800,0.000000
2026-01-04,1.344290,1.345650,1.342830,1.343830,0.000000
2026-01-05,1.343740,1.354800,1.341200,1.353170,0.000000
2026-01-06,1.353230,1.356800,1.348500,1.349900,0.000000
2026-01-07,1.349800,1.351700,1.345310,1.345790,0.000000
2026-01-08,1.345780,1.346600,1.341400,1.343450,0.000000
2026-01-09,1.343460,1.345070,1.339150,1.340200,0.000000
2026-01-11,1.339550,1.339830,1.339150,1.339290,0.000000
2026-01-12,1.339310,1.348700,1.339000,1.346500,0.000000
2026-01-13,1.346560,1.349390,1.341490,1.342510,0.000000
2026-01-14,1.342500,1.346420,1.341770,1.344020,0.000000
2026-01-15,1.343920,1.344510,1.336200,1.338000,0.000000
2026-01-16,1.338050,1.341300,1.336520,1.337800,0.000000
2026-01-18,1.334430,1.340660,1.334270,1.340280,0.000000
2026-01-19,1.340150,1.343480,1.337900,1.341810,0.000000
